Mixedscheduling output - Calibration = 650
3 background tansk + 3 normal task

B_Task 3- Release:  0.001, Completion:  0.078, Response: 0.077, WCRT: 0.077, Next Release:  0.101
B_Task 1- Release:  1.201, Completion:  7.783, Response: 6.582, WCRT: 6.582, Next Release:  1.301
Task   1- Release:  7.900, Completion:  8.011, Response: 0.111, WCRT: 0.111, Next Release:  8.200
Task   3- Release:  7.900, Completion:  8.089, Response: 0.189, WCRT: 0.282, Next Release:  8.500
B_Task 2- Release:  1.301, Completion:  8.098, Response: 6.797, WCRT: 6.797, Next Release:  1.401
Task   2- Release:  8.100, Completion:  8.180, Response: 0.080, WCRT: 0.186, Next Release:  8.500
Task   1- Release:  8.200, Completion:  8.276, Response: 0.076, WCRT: 0.111, Next Release:  8.500
B_Task 1- Release:  1.301, Completion:  8.327, Response: 7.026, WCRT: 7.026, Next Release:  1.401
B_Task 3- Release:  1.301, Completion:  8.379, Response: 7.078, WCRT: 7.078, Next Release:  1.401
Task   1- Release:  8.500, Completion:  8.576, Response: 0.076, WCRT: 0.111, Next Release:  8.800
Task   2- Release:  8.500, Completion:  8.652, Response: 0.152, WCRT: 0.186, Next Release:  8.900
Task   3- Release:  8.500, Completion:  8.728, Response: 0.228, WCRT: 0.282, Next Release:  9.100
B_Task 2- Release:  1.401, Completion:  8.767, Response: 7.366, WCRT: 7.366, Next Release:  1.501
Task   1- Release:  8.800, Completion:  8.878, Response: 0.078, WCRT: 0.111, Next Release:  9.100
Task   2- Release:  8.900, Completion:  9.009, Response: 0.109, WCRT: 0.186, Next Release:  9.300
B_Task 1- Release:  1.401, Completion:  9.015, Response: 7.614, WCRT: 7.614, Next Release:  1.501
B_Task 3- Release:  1.401, Completion:  9.039, Response: 7.638, WCRT: 7.638, Next Release:  1.501
Task   1- Release:  9.100, Completion:  9.178, Response: 0.078, WCRT: 0.111, Next Release:  9.400
Task   3- Release:  9.100, Completion:  9.254, Response: 0.154, WCRT: 0.282, Next Release:  9.700
Task   2- Release:  9.300, Completion:  9.381, Response: 0.081, WCRT: 0.186, Next Release:  9.700
Task   1- Release:  9.400, Completion:  9.482, Response: 0.082, WCRT: 0.111, Next Release:  9.700
B_Task 3- Release:  1.501, Completion:  9.548, Response: 8.047, WCRT: 8.047, Next Release:  1.601
B_Task 2- Release:  1.501, Completion:  9.572, Response: 8.071, WCRT: 8.071, Next Release:  1.601
B_Task 1- Release:  1.501, Completion:  9.576, Response: 8.075, WCRT: 8.075, Next Release:  1.601
B_Task 2- Release:  1.601, Completion:  9.672, Response: 8.071, WCRT: 8.071, Next Release:  1.701
Task   1- Release:  9.700, Completion:  9.779, Response: 0.079, WCRT: 0.111, Next Release: 10.000
Task   2- Release:  9.700, Completion:  9.855, Response: 0.155, WCRT: 0.186, Next Release: 10.100
