task 1-2-3 - Calibration = 650

Task 1- Release:  0.100, Completion:  0.192, Response: 0.092, WCRT: 0.092, Next Release:  0.400
Task 1- Release:  2.500, Completion:  2.577, Response: 0.077, WCRT: 0.083, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.655, Response: 0.155, WCRT: 0.163, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.734, Response: 0.234, WCRT: 0.240, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.888, Response: 0.088, WCRT: 0.088, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.979, Response: 0.079, WCRT: 0.163, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.179, Response: 0.079, WCRT: 0.088, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.256, Response: 0.156, WCRT: 0.240, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.379, Response: 0.079, WCRT: 0.163, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.485, Response: 0.085, WCRT: 0.088, Next Release:  3.700

Task 1- Release:  0.100, Completion:  0.182, Response: 0.082, WCRT: 0.082, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.258, Response: 0.158, WCRT: 0.158, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.335, Response: 0.235, WCRT: 0.235, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.480, Response: 0.080, WCRT: 0.082, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.578, Response: 0.078, WCRT: 0.158, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.780, Response: 0.080, WCRT: 0.082, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.857, Response: 0.157, WCRT: 0.235, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.979, Response: 0.079, WCRT: 0.158, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.079, Response: 0.079, WCRT: 0.082, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.379, Response: 0.079, WCRT: 0.082, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.455, Response: 0.155, WCRT: 0.158, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.532, Response: 0.232, WCRT: 0.235, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.689, Response: 0.089, WCRT: 0.089, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.777, Response: 0.077, WCRT: 0.158, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.978, Response: 0.078, WCRT: 0.089, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.054, Response: 0.154, WCRT: 0.235, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.181, Response: 0.081, WCRT: 0.158, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.283, Response: 0.083, WCRT: 0.089, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.583, Response: 0.083, WCRT: 0.089, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.659, Response: 0.159, WCRT: 0.159, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.735, Response: 0.235, WCRT: 0.235, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.882, Response: 0.082, WCRT: 0.089, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.977, Response: 0.077, WCRT: 0.159, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.179, Response: 0.079, WCRT: 0.089, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.258, Response: 0.158, WCRT: 0.235, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.382, Response: 0.082, WCRT: 0.159, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.482, Response: 0.082, WCRT: 0.089, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.784, Response: 0.084, WCRT: 0.089, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.864, Response: 0.164, WCRT: 0.164, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.944, Response: 0.244, WCRT: 0.244, Next Release:  4.300
Task 1- Release:  4.000, Completion:  4.080, Response: 0.080, WCRT: 0.089, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.183, Response: 0.083, WCRT: 0.164, Next Release:  4.500

