rms2 tsk 1-2-3-4 - Calibration = 750

Task 1- Release:  0.100, Completion:  0.188, Response: 0.088, WCRT: 0.088, Next Release:  0.400
Task 3- Release:  2.502, Completion:  2.761, Response: 0.259, WCRT: 0.260, Next Release:  3.102
Task 1- Release:  2.800, Completion:  2.889, Response: 0.089, WCRT: 0.090, Next Release:  3.100
Task 2- Release:  2.901, Completion:  2.989, Response: 0.088, WCRT: 0.174, Next Release:  3.301
Task 1- Release:  3.100, Completion:  3.189, Response: 0.089, WCRT: 0.090, Next Release:  3.400
Task 3- Release:  3.102, Completion:  3.277, Response: 0.175, WCRT: 0.260, Next Release:  3.702
Task 4- Release:  2.503, Completion:  3.289, Response: 0.786, WCRT: 0.786, Next Release:  3.703
Task 2- Release:  3.301, Completion:  3.390, Response: 0.088, WCRT: 0.174, Next Release:  3.701
Task 1- Release:  3.400, Completion:  3.488, Response: 0.088, WCRT: 0.090, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.793, Response: 0.093, WCRT: 0.093, Next Release:  4.000
Task 2- Release:  3.701, Completion:  3.882, Response: 0.181, WCRT: 0.181, Next Release:  4.101
Task 3- Release:  3.702, Completion:  3.971, Response: 0.269, WCRT: 0.269, Next Release:  4.302
Task 1- Release:  4.000, Completion:  4.089, Response: 0.089, WCRT: 0.093, Next Release:  4.300
Task 2- Release:  4.101, Completion:  4.189, Response: 0.088, WCRT: 0.181, Next Release:  4.501
Task 1- Release:  4.300, Completion:  4.392, Response: 0.092, WCRT: 0.093, Next Release:  4.600
Task 3- Release:  4.302, Completion:  4.487, Response: 0.185, WCRT: 0.269, Next Release:  4.902
Task 2- Release:  4.501, Completion:  4.593, Response: 0.092, WCRT: 0.181, Next Release:  4.901
Task 1- Release:  4.600, Completion:  4.690, Response: 0.090, WCRT: 0.093, Next Release:  4.900
Task 4- Release:  3.703, Completion:  4.694, Response: 0.991, WCRT: 0.991, Next Release:  4.903
Task 1- Release:  4.900, Completion:  4.990, Response: 0.090, WCRT: 0.093, Next Release:  5.200
Task 2- Release:  4.901, Completion:  5.079, Response: 0.178, WCRT: 0.181, Next Release:  5.301
Task 3- Release:  4.902, Completion:  5.170, Response: 0.268, WCRT: 0.269, Next Release:  5.502
Task 1- Release:  5.200, Completion:  5.289, Response: 0.089, WCRT: 0.093, Next Release:  5.500
Task 2- Release:  5.301, Completion:  5.390, Response: 0.089, WCRT: 0.181, Next Release:  5.701
Task 1- Release:  5.500, Completion:  5.589, Response: 0.089, WCRT: 0.093, Next Release:  5.800
Task 3- Release:  5.502, Completion:  5.678, Response: 0.176, WCRT: 0.269, Next Release:  6.102
Task 4- Release:  4.903, Completion:  5.697, Response: 0.794, WCRT: 0.991, Next Release:  6.103
Task 2- Release:  5.701, Completion:  5.790, Response: 0.089, WCRT: 0.181, Next Release:  6.101
Task 1- Release:  5.800, Completion:  5.893, Response: 0.093, WCRT: 0.093, Next Release:  6.100

Task 1- Release:  0.100, Completion:  0.188, Response: 0.088, WCRT: 0.088, Next Release:  0.400
Task 2- Release:  0.101, Completion:  0.274, Response: 0.173, WCRT: 0.173, Next Release:  0.501
Task 3- Release:  0.102, Completion:  0.361, Response: 0.259, WCRT: 0.259, Next Release:  0.702
Task 1- Release:  0.400, Completion:  0.488, Response: 0.088, WCRT: 0.088, Next Release:  0.700
Task 2- Release:  0.501, Completion:  0.588, Response: 0.087, WCRT: 0.173, Next Release:  0.901
Task 1- Release:  0.700, Completion:  0.790, Response: 0.090, WCRT: 0.090, Next Release:  1.000
Task 3- Release:  0.702, Completion:  0.877, Response: 0.175, WCRT: 0.259, Next Release:  1.302
Task 4- Release:  0.103, Completion:  0.884, Response: 0.781, WCRT: 0.781, Next Release:  1.303
Task 2- Release:  0.901, Completion:  0.988, Response: 0.087, WCRT: 0.173, Next Release:  1.301
Task 1- Release:  1.000, Completion:  1.089, Response: 0.089, WCRT: 0.090, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.389, Response: 0.089, WCRT: 0.090, Next Release:  1.600
Task 2- Release:  1.301, Completion:  1.477, Response: 0.176, WCRT: 0.176, Next Release:  1.701
Task 3- Release:  1.302, Completion:  1.564, Response: 0.262, WCRT: 0.262, Next Release:  1.902
Task 1- Release:  1.600, Completion:  1.692, Response: 0.092, WCRT: 0.092, Next Release:  1.900
Task 2- Release:  1.701, Completion:  1.794, Response: 0.093, WCRT: 0.176, Next Release:  2.101
Task 1- Release:  1.900, Completion:  1.993, Response: 0.093, WCRT: 0.093, Next Release:  2.200
Task 3- Release:  1.902, Completion:  2.088, Response: 0.186, WCRT: 0.262, Next Release:  2.502
Task 2- Release:  2.101, Completion:  2.194, Response: 0.093, WCRT: 0.176, Next Release:  2.501
Task 1- Release:  2.200, Completion:  2.294, Response: 0.094, WCRT: 0.094, Next Release:  2.500
Task 4- Release:  1.303, Completion:  2.311, Response: 1.008, WCRT: 1.008, Next Release:  2.503
Task 1- Release:  2.500, Completion:  2.588, Response: 0.088, WCRT: 0.094, Next Release:  2.800
Task 2- Release:  2.501, Completion:  2.674, Response: 0.173, WCRT: 0.176, Next Release:  2.901
Task 3- Release:  2.502, Completion:  2.761, Response: 0.259, WCRT: 0.262, Next Release:  3.102
Task 1- Release:  2.800, Completion:  2.887, Response: 0.087, WCRT: 0.094, Next Release:  3.100
Task 2- Release:  2.901, Completion:  2.988, Response: 0.087, WCRT: 0.176, Next Release:  3.301
Task 1- Release:  3.100, Completion:  3.192, Response: 0.092, WCRT: 0.094, Next Release:  3.400
Task 3- Release:  3.102, Completion:  3.279, Response: 0.177, WCRT: 0.262, Next Release:  3.702
Task 4- Release:  2.503, Completion:  3.285, Response: 0.782, WCRT: 1.008, Next Release:  3.703
Task 2- Release:  3.301, Completion:  3.390, Response: 0.089, WCRT: 0.176, Next Release:  3.701
Task 1- Release:  3.400, Completion:  3.487, Response: 0.087, WCRT: 0.094, Next Release:  3.700

Task 1- Release:  0.100, Completion:  0.192, Response: 0.092, WCRT: 0.092, Next Release:  0.400
Task 2- Release:  0.101, Completion:  0.279, Response: 0.178, WCRT: 0.178, Next Release:  0.501
Task 3- Release:  0.102, Completion:  0.365, Response: 0.263, WCRT: 0.263, Next Release:  0.702
Task 1- Release:  0.400, Completion:  0.489, Response: 0.089, WCRT: 0.092, Next Release:  0.700
Task 2- Release:  0.501, Completion:  0.589, Response: 0.088, WCRT: 0.178, Next Release:  0.901
Task 1- Release:  0.700, Completion:  0.792, Response: 0.092, WCRT: 0.092, Next Release:  1.000
Task 3- Release:  0.702, Completion:  0.878, Response: 0.176, WCRT: 0.263, Next Release:  1.302
Task 4- Release:  0.103, Completion:  0.887, Response: 0.784, WCRT: 0.784, Next Release:  1.303
Task 2- Release:  0.901, Completion:  0.989, Response: 0.088, WCRT: 0.178, Next Release:  1.301
Task 1- Release:  1.000, Completion:  1.089, Response: 0.089, WCRT: 0.092, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.392, Response: 0.092, WCRT: 0.092, Next Release:  1.600
Task 2- Release:  1.301, Completion:  1.479, Response: 0.178, WCRT: 0.178, Next Release:  1.701
Task 3- Release:  1.302, Completion:  1.571, Response: 0.269, WCRT: 0.269, Next Release:  1.902
Task 1- Release:  1.600, Completion:  1.691, Response: 0.091, WCRT: 0.092, Next Release:  1.900
Task 2- Release:  1.701, Completion:  1.793, Response: 0.092, WCRT: 0.178, Next Release:  2.101
Task 1- Release:  1.900, Completion:  1.996, Response: 0.096, WCRT: 0.096, Next Release:  2.200
Task 3- Release:  1.902, Completion:  2.089, Response: 0.187, WCRT: 0.269, Next Release:  2.502
Task 2- Release:  2.101, Completion:  2.194, Response: 0.093, WCRT: 0.178, Next Release:  2.501
Task 1- Release:  2.200, Completion:  2.290, Response: 0.090, WCRT: 0.096, Next Release:  2.500
Task 4- Release:  1.303, Completion:  2.298, Response: 0.995, WCRT: 0.995, Next Release:  2.503
Task 1- Release:  2.500, Completion:  2.591, Response: 0.091, WCRT: 0.096, Next Release:  2.800
Task 2- Release:  2.501, Completion:  2.678, Response: 0.177, WCRT: 0.178, Next Release:  2.901
Task 3- Release:  2.502, Completion:  2.765, Response: 0.263, WCRT: 0.269, Next Release:  3.102
Task 1- Release:  2.800, Completion:  2.887, Response: 0.087, WCRT: 0.096, Next Release:  3.100
Task 2- Release:  2.901, Completion:  2.988, Response: 0.087, WCRT: 0.178, Next Release:  3.301
Task 1- Release:  3.100, Completion:  3.188, Response: 0.088, WCRT: 0.096, Next Release:  3.400
Task 3- Release:  3.102, Completion:  3.280, Response: 0.178, WCRT: 0.269, Next Release:  3.702
Task 4- Release:  2.503, Completion:  3.292, Response: 0.789, WCRT: 0.995, Next Release:  3.703
Task 2- Release:  3.301, Completion:  3.389, Response: 0.088, WCRT: 0.178, Next Release:  3.701
Task 1- Release:  3.400, Completion:  3.489, Response: 0.089, WCRT: 0.096, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.787, Response: 0.087, WCRT: 0.096, Next Release:  4.000
Task 2- Release:  3.701, Completion:  3.874, Response: 0.173, WCRT: 0.178, Next Release:  4.101
Task 3- Release:  3.702, Completion:  3.961, Response: 0.259, WCRT: 0.269, Next Release:  4.302
Task 1- Release:  4.000, Completion:  4.089, Response: 0.089, WCRT: 0.096, Next Release:  4.300
Task 2- Release:  4.101, Completion:  4.189, Response: 0.088, WCRT: 0.178, Next Release:  4.501
Task 1- Release:  4.300, Completion:  4.387, Response: 0.087, WCRT: 0.096, Next Release:  4.600
Task 3- Release:  4.302, Completion:  4.474, Response: 0.172, WCRT: 0.269, Next Release:  4.902
Task 4- Release:  3.703, Completion:  4.481, Response: 0.778, WCRT: 0.995, Next Release:  4.903
Task 2- Release:  4.501, Completion:  4.588, Response: 0.087, WCRT: 0.178, Next Release:  4.901
Task 1- Release:  4.600, Completion:  4.690, Response: 0.090, WCRT: 0.096, Next Release:  4.900

Calibration = 1000

Task 1- Release:  0.100, Completion:  0.216, Response: 0.116, WCRT: 0.116, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.331, Response: 0.231, WCRT: 0.231, Next Release:  0.500
Task 1- Release:  0.400, Completion:  0.517, Response: 0.117, WCRT: 0.117, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.632, Response: 0.132, WCRT: 0.231, Next Release:  0.900
Task 3- Release:  0.100, Completion:  0.677, Response: 0.577, WCRT: 0.577, Next Release:  0.700
Task 1- Release:  0.700, Completion:  0.817, Response: 0.117, WCRT: 0.117, Next Release:  1.000
Task 1- Release:  1.000, Completion:  1.117, Response: 0.117, WCRT: 0.117, Next Release:  1.300
Task 2- Release:  0.900, Completion:  1.133, Response: 0.233, WCRT: 0.233, Next Release:  1.300
Task 3- Release:  0.700, Completion:  1.163, Response: 0.463, WCRT: 0.577, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.417, Response: 0.117, WCRT: 0.117, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.533, Response: 0.233, WCRT: 0.233, Next Release:  1.700
Task 1- Release:  1.600, Completion:  1.717, Response: 0.117, WCRT: 0.117, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.832, Response: 0.132, WCRT: 0.233, Next Release:  2.100
Task 1- Release:  1.900, Completion:  2.017, Response: 0.117, WCRT: 0.117, Next Release:  2.200
Task 3- Release:  1.300, Completion:  2.045, Response: 0.745, WCRT: 0.745, Next Release:  1.900 ==> Task 3 violates Deadline!
Task 1- Release:  2.200, Completion:  2.317, Response: 0.117, WCRT: 0.117, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.332, Response: 0.232, WCRT: 0.233, Next Release:  2.500
Task 3- Release:  1.900, Completion:  2.390, Response: 0.490, WCRT: 0.745, Next Release:  2.500
Task 4- Release:  0.100, Completion:  2.461, Response: 2.361, WCRT: 2.361, Next Release:  1.300 ==> Task 4 violates Deadline!
Task 1- Release:  2.500, Completion:  2.668, Response: 0.168, WCRT: 0.168, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.784, Response: 0.284, WCRT: 0.284, Next Release:  2.900
Task 1- Release:  2.800, Completion:  2.917, Response: 0.117, WCRT: 0.168, Next Release:  3.100
Task 2- Release:  2.900, Completion:  3.033, Response: 0.133, WCRT: 0.284, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.217, Response: 0.117, WCRT: 0.168, Next Release:  3.400
Task 3- Release:  2.500, Completion:  3.245, Response: 0.745, WCRT: 0.745, Next Release:  3.100 ==> Task 3 violates Deadline!
Task 1- Release:  3.400, Completion:  3.517, Response: 0.117, WCRT: 0.168, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.533, Response: 0.233, WCRT: 0.284, Next Release:  3.700
Task 3- Release:  3.100, Completion:  3.642, Response: 0.542, WCRT: 0.745, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.818, Response: 0.118, WCRT: 0.168, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.934, Response: 0.234, WCRT: 0.284, Next Release:  4.100
Task 1- Release:  4.000, Completion:  4.117, Response: 0.117, WCRT: 0.168, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.232, Response: 0.132, WCRT: 0.284, Next Release:  4.500
Task 3- Release:  3.700, Completion:  4.279, Response: 0.579, WCRT: 0.745, Next Release:  4.300
Task 1- Release:  4.300, Completion:  4.417, Response: 0.117, WCRT: 0.168, Next Release:  4.600
Task 1- Release:  4.600, Completion:  4.722, Response: 0.122, WCRT: 0.168, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.786, Response: 0.286, WCRT: 0.286, Next Release:  4.900
Task 3- Release:  4.300, Completion:  4.817, Response: 0.517, WCRT: 0.745, Next Release:  4.900
Task 1- Release:  4.900, Completion:  5.017, Response: 0.117, WCRT: 0.168, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.133, Response: 0.233, WCRT: 0.286, Next Release:  5.300
Task 1- Release:  5.200, Completion:  5.316, Response: 0.116, WCRT: 0.168, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.432, Response: 0.132, WCRT: 0.286, Next Release:  5.700
Task 3- Release:  4.900, Completion:  5.479, Response: 0.579, WCRT: 0.745, Next Release:  5.500
Task 1- Release:  5.500, Completion:  5.671, Response: 0.171, WCRT: 0.171, Next Release:  5.800
Task 1- Release:  5.800, Completion:  5.917, Response: 0.117, WCRT: 0.171, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.932, Response: 0.232, WCRT: 0.286, Next Release:  6.100
Task 3- Release:  5.500, Completion:  6.018, Response: 0.518, WCRT: 0.745, Next Release:  6.100
Task 4- Release:  1.300, Completion:  6.018, Response: 4.718, WCRT: 4.718, Next Release:  2.500 ==> Task 4 violates Deadline!
Task 1- Release:  6.100, Completion:  6.217, Response: 0.117, WCRT: 0.171, Next Release:  6.400
Task 2- Release:  6.100, Completion:  6.332, Response: 0.232, WCRT: 0.286, Next Release:  6.500
Task 1- Release:  6.400, Completion:  6.517, Response: 0.117, WCRT: 0.171, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.681, Response: 0.181, WCRT: 0.286, Next Release:  6.900
Task 1- Release:  6.700, Completion:  6.816, Response: 0.116, WCRT: 0.171, Next Release:  7.000
Task 3- Release:  6.100, Completion:  6.843, Response: 0.743, WCRT: 0.745, Next Release:  6.700 ==> Task 3 violates Deadline!
Task 1- Release:  7.000, Completion:  7.116, Response: 0.116, WCRT: 0.171, Next Release:  7.300
Task 2- Release:  6.900, Completion:  7.132, Response: 0.232, WCRT: 0.286, Next Release:  7.300
Task 3- Release:  6.700, Completion:  7.189, Response: 0.489, WCRT: 0.745, Next Release:  7.300
Task 1- Release:  7.300, Completion:  7.417, Response: 0.117, WCRT: 0.171, Next Release:  7.600
Task 2- Release:  7.300, Completion:  7.532, Response: 0.232, WCRT: 0.286, Next Release:  7.700
Task 1- Release:  7.600, Completion:  7.717, Response: 0.117, WCRT: 0.171, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.833, Response: 0.133, WCRT: 0.286, Next Release:  8.100
Task 1- Release:  7.900, Completion:  8.017, Response: 0.117, WCRT: 0.171, Next Release:  8.200
Task 3- Release:  7.300, Completion:  8.045, Response: 0.745, WCRT: 0.745, Next Release:  7.900 ==> Task 3 violates Deadline!
Task 1- Release:  8.200, Completion:  8.317, Response: 0.117, WCRT: 0.171, Next Release:  8.500
Task 2- Release:  8.100, Completion:  8.331, Response: 0.231, WCRT: 0.286, Next Release:  8.500
Task 3- Release:  7.900, Completion:  8.391, Response: 0.491, WCRT: 0.745, Next Release:  8.500
Task 4- Release:  2.500, Completion:  8.426, Response: 5.926, WCRT: 5.926, Next Release:  3.700 ==> Task 4 violates Deadline!
Task 1- Release:  8.500, Completion:  8.676, Response: 0.176, WCRT: 0.176, Next Release:  8.800
Task 2- Release:  8.500, Completion:  8.792, Response: 0.292, WCRT: 0.292, Next Release:  8.900
Task 1- Release:  8.800, Completion:  8.917, Response: 0.117, WCRT: 0.176, Next Release:  9.100
Task 2- Release:  8.900, Completion:  9.032, Response: 0.132, WCRT: 0.292, Next Release:  9.300
Task 1- Release:  9.100, Completion:  9.216, Response: 0.116, WCRT: 0.176, Next Release:  9.400
Task 3- Release:  8.500, Completion:  9.255, Response: 0.755, WCRT: 0.755, Next Release:  9.100 ==> Task 3 violates Deadline!
Task 1- Release:  9.400, Completion:  9.517, Response: 0.117, WCRT: 0.176, Next Release:  9.700
